52.2087 20.9297	541
52.2220 20.9175	602
52.2327	20.9016	678
52.2396	20.8716	785
52.2325	20.8301	1021
52.2222	20.8014	1257
52.2112	20.7674	1478
52.2058	20.7375	1638
52.2037	20.6971	1867
52.2006	20.6357	2233
52.1955	20.5768	2553
52.1902	20.5136	2911
52.1855	20.4558	3200
52.1802	20.3901	3353
52.1748	20.3205	3490
52.1706	20.2692	3620
52.1645	20.1961	3909
52.1585	20.1226	4168
52.1521	20.0452	4442
52.1454	19.9678	4717
52.1391	19.8932	4968
52.1326	19.8154	5212
52.1253	19.7314	5456
52.1184	19.6521	5677
52.1124	19.5839	5845
52.1052	19.5016	6073
52.0979	19.4188	6294
52.0912	19.3444	6492
52.0858	19.2838	6652
52.0806	19.2265	6797
52.0757	19.1715	6911
52.0691	19.0994	7079
52.0597	18.9980	7285
52.0516	18.9111	7468
52.0431	18.8208	7658
52.0343	18.7285	7849
52.0255	18.6363	8016
52.0168	18.5465	8176
51.9986	18.4196	8374
51.9915	18.3744	8458
51.9802	18.3025	8573
51.9697	18.2362	8672
51.9601	18.1753	8786
51.9475	18.0788	8946
51.9386	17.9855	9083
51.9293	17.8890	9228
51.9197	17.7902	9357
51.9102	17.6912	9479
51.9028	17.6160	9578
51.8958	17.5465	9662
51.8859	17.4461	9784
51.8793	17.3801	9860
51.8697	17.2845	9975
51.8644	17.2327	10058
51.8586	17.1751	10165
51.8513	17.1030	10279
51.8400	16.9938	10424
51.8290	16.8891	10577
51.8190	16.7939	10721
51.7992	16.6076	10988
51.7895	16.5181	11087
51.7749	16.3828	11232
51.7638	16.2814	11331
51.7525	16.1785	11430
51.7376	16.0454	11529
51.7277	15.9577	11575
51.7162	15.8572	11582
51.7050	15.7585	11575
51.6935	15.6584	11582
51.6825	15.5638	11575
51.6707	15.4634	11582
51.6586	15.3612	11575
51.6465	15.2591	11582
51.6403	15.2076	11575
51.6287	15.1104	11582
51.6031	14.9002	11582
51.5908	14.8010	11582
51.5795	14.7366	11582
51.5659	14.6823	11575
51.5454	14.6160	11575
51.5043	14.4826	11582
51.4806	14.4059	11575
51.4510	14.3107	11575
51.4223	14.2187	11582
51.3933	14.1261	11582
51.3544	14.0025	11575
51.3260	13.9129	11575
51.2985	13.8263	11575
51.2692	13.7341	11575
51.2406	13.6446	11582
51.2119	13.5552	11575
51.1708	13.4279	11582
51.1495	13.3619	11582
51.1220	13.2763	11575
51.1057	13.2133	11582
51.0874	13.1060	11575
51.0721	13.0056	11582
50.9447	12.1847	11575
50.9319	12.1044	11582
50.9219	12.0419	11582
50.7761	11.1565	11575
50.7593	11.0579	11582
50.6067	10.1826	11575
50.5904	10.0907	11582
50.2230	8.1502	11575
50.2090	8.0802	11582
50.0140	7.1282	11582
49.9943	7.0338	11575
49.8387	6.1343	11880
49.8284	6.0704	11887
49.6795	5.1730	11887
49.6637	5.0807	11887
49.4918	4.1044	11880
49.3143	3.1486	11887
49.2837	3.0269	11887
49.0078	2.1675	11887
48.9793	2.0802	11887
48.6684	1.1493	11887
48.6235	1.0177	11880
48.5959	0.9372	11887
48.5652	0.8475	11887
48.5376	0.7673	11880
48.5071	0.6793	11887
48.4767	0.5915	11880
48.4464	0.5046	11887
48.4140	0.4122	11880
48.3824	0.3215	11887
48.3522	0.2356	11880
48.3207	0.1468	11880
48.2914	0.0640	11880
48.2573	-0.0318	11887
48.2255	-0.1211	11887
48.1921	-0.2149	11887
48.1700	-0.2763	11880
48.1377	-0.3656	11887
48.1038	-0.4598	11880
48.0711	-0.5501	11887
48.0299	-0.6632	11887
47.9952	-0.7582	11887
47.9617	-0.8497	11887
47.9291	-0.9383	11880
47.8951	-1.0305	11880
47.8618	-1.1205	11880
47.8273	-1.2130	11880
47.7946	-1.3005	11887
47.7607	-1.3912	11887
47.7377	-1.4526	11887
47.7024	-1.5465	11887
47.6813	-1.6026	11880
47.6479	-1.6906	11887
47.6131	-1.7822	11880
47.5786	-1.8725	11880
47.5325	-1.9932	11880
47.5005	-2.0763	11887
47.4628	-2.1745	11880
47.4274	-2.2661	11880
47.3903	-2.3614	11887
47.3529	-2.4669	11887
47.3392	-2.5167	11880
47.3231	-2.5880	11887
47.3022	-2.6843	11887
47.2815	-2.7794	11880
47.2604	-2.8763	11880
47.2393	-2.9730	11887
47.2183	-3.0677	11887
47.1966	-3.1659	11887
47.1742	-3.2676	11880
47.1538	-3.3596	11880
47.1316	-3.4578	11887
47.1176	-3.5204	11880
47.0960	-3.6166	11872
47.0759	-3.7056	11887
47.0534	-3.8035	11887
47.0330	-3.8937	11880
47.0105	-3.9919	11887
46.9877	-4.0904	11887
46.9651	-4.1873	11887
46.9437	-4.2794	11880
46.9207	-4.3784	11887
46.8989	-4.4714	11887
46.8766	-4.5657	11887
46.8542	-4.6598	11880
46.8326	-4.7510	11887
46.8097	-4.8468	11880
46.7878	-4.9382	11880
46.7636	-5.0390	11880
46.7402	-5.1352	11887
46.7178	-5.2276	11887
46.6956	-5.3187	11887
46.6718	-5.4157	11887
46.6492	-5.5078	11880
46.6264	-5.5997	11887
46.6020	-5.6981	11880
46.5786	-5.7923	11880
46.5549	-5.8864	11880
46.5307	-5.9829	11880
46.5070	-6.0767	11887
46.4845	-6.1659	11887
46.4570	-6.2738	11880
46.4294	-6.3819	11880
46.4041	-6.4805	11880
46.3708	-6.6094	11887
46.3468	-6.7017	11887
46.3229	-6.7936	11880
46.2989	-6.8857	11880
46.2658	-7.0116	11880
46.2385	-7.1152	11880
46.2139	-7.2080	11887
46.1894	-7.3003	11880
46.1655	-7.3897	11880
46.1401	-7.4842	11887
46.1079	-7.6037	11895
46.0835	-7.6941	11986
46.0550	-7.7988	12078
46.0303	-7.8896	12146
46.0104	-7.9696	12192
46.0022	-8.0325	12192
46.0005	-8.1699	12192
46.0006	-8.2702	12192
46.0006	-8.3783	12192
46.0004	-8.5899	12184
46.0001	-8.6854	12184
45.9898	-8.7954	12192
45.9572	-8.9506	12192
45.9357	-9.0507	12184
45.8465	-9.4596	12184
45.8231	-9.5654	12192
45.8025	-9.6579	12184
45.7756	-9.7790	12192
45.7348	-9.9605	12192
45.6937	-10.1419 12184
45.6733	-10.2315 12192
45.6525	-10.3227 12192
45.6318	-10.4127 12192
